"id_prov";"id_kab";"id_komoditas";"id_kec";"prov";"kab";"kec";"n_utp_tunggal";"n_utp_campuran";"n_utp_tumpang_sari";"n_utp_asosiasi_antar_semusim";"n_utp"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310010] PAGA";"53";"5310";"5310010";"2";"0";"0";"0";"2"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310011] MEGO";"53";"5310";"5310011";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310012] TANA WAWO";"53";"5310";"5310012";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310020] LELA";"53";"5310";"5310020";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310030] BOLA";"53";"5310";"5310030";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310031] DORENG";"53";"5310";"5310031";"11";"12";"1";"0";"24"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310032] MAPITARA";"53";"5310";"5310032";"2";"4";"0";"0";"6"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310040] TALIBURA";"53";"5310";"5310040";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310041] WAIGETE";"53";"5310";"5310041";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310042] WAIBLAMA";"53";"5310";"5310042";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310050] KEWAPANTE";"53";"5310";"5310050";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310051] HEWOKLOANG";"53";"5310";"5310051";"3";"16";"0";"0";"19"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310052] KANGAE";"53";"5310";"5310052";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310061] PALUE";"53";"5310";"5310061";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310062] KOTING";"53";"5310";"5310062";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310063] NELLE";"53";"5310";"5310063";"0";"1";"0";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310070] NITA";"53";"5310";"5310070";"0";"0";"1";"0";"1"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310071] MAGEPANDA";"53";"5310";"5310071";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310080] ALOK";"53";"5310";"5310080";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310081] ALOK BARAT";"53";"5310";"5310081";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310082] ALOK TIMUR";"53";"5310";"5310082";"0";"0";"0";"0";"0"
"[53] NUSA TENGGARA TIMUR";"[5310] SIKKA";"2605";"[5310] SIKKA";"53";"5310";"5310999";"18";"34";"2";"0";"54"
